minx=0
maxx=20
miny=0
maxy=15
0 , 3.5
0.1 , 3.56
0.2 , 3.62
0.3 , 3.68
0.4 , 3.74
0.5 , 3.8
0.6 , 3.74
0.7 , 3.68
0.8 , 3.62
0.9 , 3.56
1 , 3.5
1.1 , 3.5
1.2 , 3.5
1.3 , 3.5
1.4 , 3.5
1.5 , 3.5
1.6 , 3.5
1.7 , 3.5
1.8 , 3.5
1.9 , 3.5
2 , 3.5
2.1 , 3.2
2.2 , 2.9
2.3 , 2.6
2.4 , 2.3
2.5 , 2
2.6 , 2.66667
2.7 , 3.33333
2.8 , 4
2.9 , 4.66667
3 , 5.33333
3.1 , 6
3.2 , 6.66667
3.3 , 7.33333
3.4 , 8
3.5 , 8.66667
3.6 , 9.33333
3.7 , 10
3.8 , 10.6667
3.9 , 11.3333
4 , 12
4.1 , 10.4
4.2 , 8.8
4.3 , 7.2
4.4 , 5.6
4.5 , 4
4.6 , 4.16
4.7 , 4.32
4.8 , 4.48
4.9 , 4.64
5 , 4.8
5.1 , 4.64
5.2 , 4.48
5.3 , 4.32
5.4 , 4.16
5.5 , 4
5.6 , 4.04
5.7 , 4.08
5.8 , 4.12
5.9 , 4.16
6 , 4.2
6.1 , 4.28
6.2 , 4.36
6.3 , 4.44
6.4 , 4.52
6.5 , 4.6
6.6 , 4.68
6.7 , 4.76
6.8 , 4.84
6.9 , 4.92
7 , 5
7.1 , 5.2
7.2 , 5.4
7.3 , 5.6
7.4 , 5.8
7.5 , 6
7.6 , 6.2
7.7 , 6.4
7.8 , 6.6
7.9 , 6.8
8 , 7
8.1 , 6.6
8.2 , 6.2
8.3 , 5.8
8.4 , 5.4
8.5 , 5
8.6 , 4.6
8.7 , 4.2
8.8 , 3.8
8.9 , 3.4
9 , 3
9.1 , 3.05
9.2 , 3.1
9.3 , 3.15
9.4 , 3.2
9.5 , 3.25
9.6 , 3.3
9.7 , 3.35
9.8 , 3.4
9.9 , 3.45
10 , 3.5
10.1 , 3.45
10.2 , 3.4
10.3 , 3.35
10.4 , 3.3
10.5 , 3.25
10.6 , 3.2
10.7 , 3.15
10.8 , 3.1
10.9 , 3.05
11 , 3
11.1 , 3.05
11.2 , 3.1
11.3 , 3.15
11.4 , 3.2
11.5 , 3.25
11.6 , 3.3
11.7 , 3.35
11.8 , 3.4
11.9 , 3.45
12 , 3.5
12.1 , 3.45
12.2 , 3.4
12.3 , 3.35
12.4 , 3.3
12.5 , 3.25
12.6 , 3.2
12.7 , 3.15
12.8 , 3.1
12.9 , 3.05
13 , 3
13.1 , 3.05
13.2 , 3.1
13.3 , 3.15
13.4 , 3.2
13.5 , 3.25
13.6 , 3.3
13.7 , 3.35
13.8 , 3.4
13.9 , 3.45
14 , 3.5
14.1 , 3.6
14.2 , 3.7
14.3 , 3.8
14.4 , 3.9
14.5 , 4
14.6 , 3.8
14.7 , 3.6
14.8 , 3.4
14.9 , 3.2
15 , 3
15.1 , 2.8
15.2 , 2.6
15.3 , 2.4
15.4 , 2.2
15.5 , 2
15.6 , 3.4
15.7 , 4.8
15.8 , 6.2
15.9 , 7.6
16 , 9
16.1 , 7.9
16.2 , 6.8
16.3 , 5.7
16.4 , 4.6
16.5 , 3.5
16.6 , 3.6
16.7 , 3.7
16.8 , 3.8
16.9 , 3.9
17 , 4
17.1 , 3.9
17.2 , 3.8
17.3 , 3.7
17.4 , 3.6
17.5 , 3.5
17.6 , 3.5
17.7 , 3.5
17.8 , 3.5
17.9 , 3.5
18 , 3.5
18.1 , 3.5
18.2 , 3.5
18.3 , 3.5
18.4 , 3.5
18.5 , 3.5
18.6 , 3.5
18.7 , 3.5
18.8 , 3.5
18.9 , 3.5
19 , 3.5
19.1 , 3.5
19.2 , 3.5
19.3 , 3.5
19.4 , 3.5
19.5 , 3.5
19.6 , 3.5
19.7 , 3.5
19.8 , 3.5
19.9 , 3.5
20 , 3.5
